player_id,display_name,preseason_team,preseason_position,preseason_status,season,roster_week,is_rookie,population_source,model_forecast_points,model_rate_points,projected_games,projected_volume_games,depth_tier,forecast_component_count,forecast_expected_component_count,forecast_covered,model_points_end_to_end,carry_forward_points,source_games_played,availability_adjusted_points,attempts,carries,completions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,targets,actual_games_played,actual_row_present,actual_played,actual_points,actual_zero_game_outcome,actual_zero_point_outcome,actual_rate_points,actual_position_finish,model_position_rank,carry_forward_position_rank,availability_adjusted_position_rank
00-0036877,Jaelon Darden,CLE,WR,DEV,2023,1,False,week1_roster_veteran,3.862514921360779,0.2639409668313229,0.23194636441525776,17.0,5.0,4.0,4.0,True,3.862514921360779,3.8000000000000003,8.0,8.075000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,254.0,250.0,159.0,170.0
00-0036879,Sam Ehlinger,IND,QB,INA,2023,1,False,week1_roster_veteran,58.496850300768145,3.2761966662120976,1.3132679677776649,17.0,3.0,8.0,8.0,True,58.496850300768145,37.620000000000005,4.0,159.88500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,False,True,0.0,83.0,44.0,46.0,42.0
00-0036887,Luke Farrell,JAX,TE,ACT,2023,1,False,week1_roster_veteran,15.368672722429556,0.9135494649004826,14.388532782400993,17.0,1.0,4.0,4.0,True,15.368672722429556,6.0,16.0,6.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,13.0,0.0,0.0,15.0,17.0,True,True,22.0,False,False,1.2941176470588236,64.0,102.0,89.0,93.0
00-0036893,Najee Harris,PIT,RB,ACT,2023,1,False,week1_roster_veteran,189.70394138915725,11.266351499938796,14.007260399194983,17.0,1.0,7.0,7.0,True,189.70394138915725,206.96,17.0,206.96,0.0,255.0,0.0,0.0,0.0,0.0,0.0,170.0,29.0,8.0,1035.0,38.0,17.0,True,True,183.0,False,False,10.764705882352942,20.5,13.0,14.0,19.0
00-0036894,Pat Freiermuth,PIT,TE,ACT,2023,1,False,week1_roster_veteran,114.12057922220464,6.942552467995611,16.626500751828424,17.0,1.0,4.0,4.0,True,114.12057922220464,116.7,16.0,123.99375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,308.0,32.0,0.0,0.0,47.0,12.0,True,True,58.8,False,False,4.8999999999999995,29.0,12.0,7.0,12.0
00-0036898,Davis Mills,HOU,QB,ACT,2023,1,False,week1_roster_veteran,156.90563862152754,9.083562180285275,9.855999020327724,17.0,2.0,8.0,8.0,True,156.90563862152754,185.52,15.0,210.256,39.0,2.0,18.0,0.0,2.0,173.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,True,True,15.82,False,False,2.6366666666666667,57.0,29.0,20.0,31.0
00-0036900,Ja'Marr Chase,CIN,WR,ACT,2023,1,False,week1_roster_veteran,205.2057611820663,13.530649009597337,12.481379986178311,17.0,1.0,4.0,4.0,True,205.2057611820663,202.9,12.0,287.4416666666667,1.0,3.0,1.0,0.0,0.0,-7.0,7.0,1216.0,100.0,0.0,-6.0,145.0,16.0,True,True,212.72000000000003,False,False,13.295000000000002,14.0,1.0,11.0,3.0
00-0036906,Khalil Herbert,CHI,RB,ACT,2023,1,False,week1_roster_veteran,137.26216654724857,8.450413319275897,12.091483863160018,17.0,1.0,7.0,7.0,True,137.26216654724857,113.30000000000001,13.0,148.16153846153847,0.0,132.0,0.0,0.0,0.0,0.0,1.0,134.0,20.0,2.0,611.0,31.0,12.0,True,True,102.5,False,False,8.541666666666666,41.0,34.0,38.0,41.0
00-0036910,C.J. Saunders,ATL,WR,DEV,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,254.0,287.5,245.0,245.0
00-0036912,DeVonta Smith,PHI,WR,ACT,2023,1,False,week1_roster_veteran,164.66332047274742,11.116213048294128,14.964739514836028,17.0,1.0,4.0,4.0,True,164.66332047274742,209.10000000000002,17.0,209.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1066.0,81.0,0.0,0.0,112.0,16.0,True,True,189.10000000000002,False,False,11.818750000000001,19.0,16.0,9.0,16.0
00-0036913,Kadarius Toney,KC,WR,ACT,2023,1,False,week1_roster_veteran,81.74915871542849,5.177580849294548,11.688017241479477,17.0,1.0,4.0,4.0,True,81.74915871542849,51.300000000000004,9.0,96.9,1.0,11.0,0.0,0.0,0.0,0.0,1.0,169.0,27.0,0.0,31.0,38.0,13.0,True,True,39.5,False,False,3.0384615384615383,114.0,61.0,101.0,82.0
00-0036918,Jacob Harris,JAX,WR,DEV,2023,1,False,week1_roster_veteran,7.667451692760272,0.45238115851473865,0.08647878906965166,17.0,5.0,4.0,4.0,True,7.667451692760272,1.1,2.0,9.350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,True,0.0,False,True,0.0,254.0,203.0,180.0,169.0
00-0036919,Kenneth Gainwell,PHI,RB,ACT,2023,1,False,week1_roster_veteran,84.8320094565091,5.282366942618647,12.614670749380622,17.0,1.0,7.0,7.0,True,84.8320094565091,76.4,17.0,76.4,1.0,84.0,1.0,0.0,0.0,17.0,0.0,183.0,30.0,2.0,364.0,37.0,16.0,True,True,82.38,False,False,5.14875,50.0,58.0,50.0,63.0
00-0036924,Michael Carter,NYJ,RB,ACT,2023,1,False,week1_roster_veteran,44.77413882776352,2.6935579816488593,12.129700905843343,17.0,3.0,7.0,7.0,True,44.77413882776352,107.5,16.0,114.21875,0.0,30.0,0.0,0.0,0.0,0.0,1.0,101.0,24.0,0.0,187.0,31.0,15.0,True,True,46.8,False,False,3.1199999999999997,61.0,84.0,41.0,52.0
00-0036928,Kyle Trask,TB,QB,ACT,2023,1,False,week1_roster_veteran,26.218222452458875,1.6276269755520918,2.7127752455965606,17.0,2.0,8.0,8.0,True,26.218222452458875,0.92,1.0,15.64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,True,True,-0.1,False,False,-0.05,95.0,60.0,63.0,63.0
00-0036936,Rondale Moore,ARI,WR,ACT,2023,1,False,week1_roster_veteran,99.88641762904858,5.9850370976358205,11.205459044157125,17.0,1.0,4.0,4.0,True,99.88641762904858,67.4,8.0,143.22500000000002,0.0,28.0,0.0,0.0,0.0,0.0,1.0,352.0,40.0,1.0,178.0,62.0,17.0,True,True,85.0,False,False,5.0,67.0,40.0,87.0,47.0
00-0036945,Justin Fields,CHI,QB,ACT,2023,1,False,week1_roster_veteran,279.00360913594216,14.82328656849457,12.749549172667203,17.0,1.0,8.0,8.0,True,279.00360913594216,297.98,15.0,337.7106666666667,370.0,124.0,227.0,9.0,16.0,2562.0,0.0,0.0,0.0,4.0,657.0,0.0,13.0,True,True,238.18,False,False,18.321538461538463,17.0,7.0,7.0,5.0
00-0036950,Avery Williams,ATL,RB,RES,2023,1,False,week1_roster_veteran,19.81360978218552,1.2686935408737658,3.057682712862185,17.0,5.0,7.0,7.0,True,19.81360978218552,29.5,15.0,33.43333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,151.5,116.0,75.0,95.0
00-0036955,Terrace Marshall,CAR,WR,ACT,2023,1,False,week1_roster_veteran,43.40451155576004,2.681778979732881,13.450348535660295,17.0,2.0,4.0,4.0,True,43.40451155576004,69.0,14.0,83.78571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,19.0,0.0,0.0,33.0,9.0,True,True,23.4,False,False,2.5999999999999996,138.0,106.0,84.0,91.0
00-0036963,Amon-Ra St. Brown,DET,WR,ACT,2023,1,False,week1_roster_veteran,148.26150685679153,9.294944880775562,13.474761298304998,17.0,1.0,4.0,4.0,True,148.26150685679153,214.60000000000002,16.0,228.01250000000002,0.0,4.0,0.0,0.0,0.0,0.0,10.0,1515.0,119.0,0.0,24.0,164.0,16.0,True,True,273.4,False,False,17.0875,3.0,25.0,8.0,11.0
00-0036970,Kyle Pitts,ATL,TE,ACT,2023,1,False,week1_roster_veteran,85.53793489507017,5.743158452390897,14.699097717195004,17.0,1.0,4.0,4.0,True,85.53793489507017,61.6,10.0,104.72,0.0,1.0,0.0,0.0,0.0,0.0,3.0,667.0,53.0,0.0,-4.0,90.0,17.0,True,True,110.8,False,False,6.517647058823529,13.0,18.0,32.0,19.0
00-0036971,Trevor Lawrence,JAX,QB,ACT,2023,1,False,week1_roster_veteran,268.07258817463946,15.933840146842535,15.660571323443495,17.0,1.0,8.0,8.0,True,268.07258817463946,307.62,17.0,307.62,564.0,70.0,370.0,14.0,21.0,4016.0,0.0,0.0,0.0,4.0,339.0,0.0,16.0,True,True,274.54,False,False,17.15875,12.0,11.0,6.0,10.0
00-0036972,Mac Jones,NE,QB,ACT,2023,1,False,week1_roster_veteran,224.49155099819814,13.272530143855338,15.114262688173094,17.0,1.0,8.0,8.0,True,224.49155099819814,170.07999999999998,14.0,206.52571428571426,345.0,26.0,224.0,12.0,10.0,2120.0,0.0,0.0,0.0,0.0,96.0,0.0,11.0,True,True,110.4,False,False,10.036363636363637,31.0,17.0,23.0,32.0
00-0036973,Travis Etienne,JAX,RB,ACT,2023,1,False,week1_roster_veteran,175.57774956292073,10.357899311696118,15.190778061636824,17.0,1.0,7.0,7.0,True,175.57774956292073,191.6,17.0,191.6,0.0,267.0,0.0,0.0,0.0,0.0,1.0,476.0,58.0,11.0,1008.0,73.0,17.0,True,True,249.4,False,False,14.670588235294119,4.0,20.0,15.0,23.0
00-0036980,Elijah Moore,CLE,WR,ACT,2023,1,False,week1_roster_veteran,61.363931864703986,4.304810912449768,15.516853173968403,17.0,1.0,4.0,4.0,True,61.363931864703986,69.6,16.0,73.94999999999999,0.0,9.0,0.0,0.0,0.0,0.0,2.0,640.0,59.0,0.0,11.0,104.0,17.0,True,True,106.6,False,False,6.270588235294118,54.0,88.0,83.0,97.0
00-0036984,Trey Sermon,PHI,RB,RES,2023,1,False,week1_roster_veteran,18.419038775700376,1.134419728976484,0.0,17.0,5.0,7.0,7.0,True,18.419038775700376,1.9000000000000001,2.0,16.150000000000002,0.0,35.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,160.0,6.0,12.0,True,True,18.8,False,False,1.5666666666666667,87.0,123.0,113.0,109.0
00-0036988,Josh Palmer,LAC,WR,ACT,2023,1,False,week1_roster_veteran,93.43259121998491,6.093235805601251,13.984694392291848,17.0,2.0,4.0,4.0,True,93.43259121998491,131.3,16.0,139.50625000000002,0.0,1.0,0.0,0.0,0.0,0.0,2.0,581.0,38.0,0.0,6.0,61.0,10.0,True,True,89.7,False,False,8.97,63.0,47.0,42.0,49.0
00-0036991,Amari Rodgers,IND,WR,DEV,2023,1,False,week1_roster_veteran,21.897062109936968,1.3660320378016078,3.5752144033712985,17.0,5.0,4.0,4.0,True,21.897062109936968,35.1,14.0,42.621428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,True,True,0.0,False,True,0.0,254.0,144.0,114.0,120.0
00-0036997,Javonte Williams,DEN,RB,ACT,2023,1,False,week1_roster_veteran,187.7467584348027,11.132232783133016,13.918751331772624,17.0,1.0,7.0,7.0,True,187.7467584348027,36.0,4.0,153.0,0.0,217.0,0.0,0.0,0.0,0.0,2.0,228.0,47.0,3.0,774.0,58.0,16.0,True,True,153.7,False,False,9.60625,30.0,14.0,71.0,38.0
00-0036999,Anthony Schwartz,CLE,WR,RES,2023,1,False,week1_roster_veteran,11.169999079765223,0.7716465444323091,2.0801407548529127,17.0,5.0,4.0,4.0,True,11.169999079765223,18.8,10.0,31.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,254.0,185.0,132.0,137.0
00-0037004,Hunter Long,LA,TE,RES,2023,1,False,week1_roster_veteran,12.323432016945096,0.7975526520641506,2.2552989989684846,17.0,5.0,4.0,4.0,True,12.323432016945096,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True,True,0.0,False,True,0.0,140.5,111.0,134.5,134.5
