player_id,display_name,position,team,fantasy_pts,fantasy_pts_low,fantasy_pts_high,projected_games,fantasy_pts_season,source,low_confidence,role,depth_chart_status,depth_rank,season,team_identity_scale
00-0036345,K.J. Osborn,WR,TEN,1.8825581753396945,0.3090103739985246,9.73276555252893,9.3,16.74888322277782,v2_team_first,True,depth,listed,8.0,2026,0.9566531376486981
00-0039794,Braelon Allen,RB,NYJ,1.880416102034922,0.1201774636373327,9.312660308570385,11.84,21.949537010934048,v2_team_first,True,backup,listed,2.0,2026,0.9858701110476135
00-0037263,Tyler Allgeier,RB,ARI,1.839196465474369,0.1428807297647094,9.27144067200983,16.0,28.763662684550912,v2_team_first,False,backup,listed,2.0,2026,0.9774534431376032
00-0038454,Keaton Mitchell,RB,LAC,1.8376058870891208,0.1903876913126647,9.269850093624582,12.35,22.24091502653675,v2_team_first,True,backup,listed,2.0,2026,0.980016346524363
00-0041357,Khalil Dinkins,TE,SF,1.832524828264936,1.4138226931539664,7.306034341359892,15.0,25.758405748254766,rookie_rule,True,,,,2026,0.9370825559343441
00-0041257,Eric Rivers,WR,TB,1.8311073912066536,1.2010974769776053,9.681314768395886,15.0,26.578626594202667,rookie_rule,True,depth,listed,10.0,2026,0.9676704097873081
00-0039739,Roman Wilson,WR,PIT,1.8307348538046773,0.2700856494458638,9.680942230993912,12.75,21.87553629846761,v2_team_first,True,depth,listed,3.0,2026,0.937180134834406
00-0039052,Trey Palmer,WR,NO,1.8180351092598797,0.40108724638671,9.668242486449111,10.6,18.0322029360867,v2_team_first,True,depth,listed,8.0,2026,0.9357086734579482
00-0039356,Ja'Tavion Sanders,TE,CAR,1.8116261020138171,0.3836770335582412,7.285135615108774,14.05,23.974133620517666,v2_team_first,False,depth,listed,3.0,2026,0.9418853195111827
00-0037300,Mike Woods,WR,DEN,1.8052391792540587,0.2877508130094217,9.655446556443293,8.25,14.303359738533992,v2_team_first,True,depth,listed,13.0,2026,0.9603938327353132
00-0041397,Kaden Wetjen,WR,PIT,1.801977410548751,1.1075033041135245,9.652184787737983,15.0,25.331573429997768,rookie_rule,True,depth,listed,6.0,2026,0.9371768769762627
00-0035500,Greg Dortch,WR,DET,1.7610980874587328,0.2520517870013222,9.611305464647966,14.45,24.6030574667023,v2_team_first,False,depth,listed,4.0,2026,0.9668023302306719
00-0040718,Travis Hunter,WR,JAX,1.758607332111162,0.27082341704762,9.608814709300397,15.0,24.73643639361078,v2_team_first,False,depth,listed,4.0,2026,0.9377282406723255
00-0039814,Erick All,TE,CIN,1.742949438654454,0.3008137096303426,7.216458951749411,9.16,14.921173001606917,v2_team_first,True,depth,listed,4.0,2026,0.9345933860825102
00-0036387,Jalen Reagor,WR,MIA,1.7415885635228672,0.4372277802378411,9.5917959407121,9.0,14.704818058300472,v2_team_first,True,depth,listed,7.0,2026,0.9381484854491261
00-0036427,Tyler Johnson,WR,DAL,1.7135209840445766,0.2767973760503371,9.563728361233812,11.9,19.037799259697422,v2_team_first,True,depth,listed,8.0,2026,0.933641944707285
00-0041047,Chris Brazzell,WR,CAR,1.7134254041421588,0.8982212104471752,9.563632781331394,12.0,19.366537520188313,rookie_rule,True,depth,listed,10.0,2026,0.941901598272591
00-0040912,Hank Beatty,WR,TEN,1.7039918344905254,1.3481389386358114,9.55419921167976,15.0,24.45197848919618,rookie_rule,True,depth,listed,13.0,2026,0.9566547598904056
00-0039875,Ray Davis,RB,BUF,1.690176407599596,0.2145309559481782,9.122420614135056,15.95,26.28510219706894,v2_team_first,False,backup,listed,2.0,2026,0.9750276849061851
00-0041443,Skyler Bell,WR,BUF,1.678159619534374,0.976364710108162,9.528366996723609,15.0,23.9424987831557,rookie_rule,True,depth,listed,5.0,2026,0.9511410994304518
00-0041233,Raylen Sharpe,WR,IND,1.6743482046776892,0.9307594964084678,9.524555581866922,15.0,23.481063465499627,rookie_rule,True,depth,listed,11.0,2026,0.9349335022786659
00-0038679,Tyrell Shavers,WR,BUF,1.6642723972160436,0.2792445634048078,9.514479774405276,11.53,18.251578426305112,v2_team_first,True,depth,listed,7.0,2026,0.9511449608554053
00-0036422,Adam Trautman,TE,DEN,1.662270643351671,0.2998651049842572,7.135780156446628,14.15,22.589080114923426,v2_team_first,False,backup,listed,2.0,2026,0.9603739486913523
00-0038612,A.T. Perry,WR,PIT,1.6621756655169433,0.2516033729666559,9.512383042706178,7.9,12.306385629897388,v2_team_first,True,depth,listed,7.0,2026,0.9371875459468544
00-0041248,Noah Thomas,WR,CIN,1.6443051871391017,1.0339020789493936,9.494512564328335,15.0,23.051482327388293,rookie_rule,True,depth,listed,9.0,2026,0.9345986988986787
00-0040586,Jaydon Blue,RB,DAL,1.6403760386576232,0.0527103823303265,9.072620245193084,11.25,18.29264077709211,v2_team_first,True,backup,listed,2.0,2026,0.9912437606988708
00-0041436,D.J. Herman,RB,MIA,1.6357691163895969,1.448799197730772,9.068013322925058,15.0,23.646392566101248,rookie_rule,True,,,,2026,0.9637216861954455
00-0038797,Emanuel Wilson,RB,SEA,1.6248517719405038,0.097035810259508,9.057095978475964,15.4,24.724343801788933,v2_team_first,False,depth,listed,4.0,2026,0.9880758958884412
00-0037801,KaVontae Turpin,WR,DAL,1.6062667735601233,0.2636246136405405,9.456474150749356,15.35,23.020050054889193,v2_team_first,False,depth,listed,4.0,2026,0.9336416295793328
00-0041457,Miles Kitselman,TE,DET,1.6059622772746045,1.0670605200866732,7.079471790369562,15.0,23.290222473308344,rookie_rule,True,,,,2026,0.9668231440999547
00-0035406,Lil'Jordan Humphrey,WR,DEN,1.6014423638839788,0.2633689843551803,9.451649741073211,12.25,18.84087696500235,v2_team_first,True,depth,listed,6.0,2026,0.9604034508760382
00-0041374,Sincere Brown,WR,LAC,1.5978585312739728,1.0462781474641896,9.448065908463208,15.0,22.816401841453274,rookie_rule,True,depth,listed,8.0,2026,0.9519575271060553
00-0041380,Devonte Ross,WR,LAC,1.5849667944965966,1.0088690864127523,9.43517417168583,15.0,22.63231297195144,rookie_rule,True,depth,listed,9.0,2026,0.9519573974898201
00-0032775,Demarcus Robinson,WR,SF,1.578470952938476,0.3776764110848082,9.42867833012771,14.65,21.669633414181448,v2_team_first,False,depth,listed,4.0,2026,0.9370814595578423
00-0041168,Omari Kelly,WR,CHI,1.5780623002422935,1.0995269222081876,9.428269677431528,15.0,22.806080742256846,rookie_rule,True,depth,listed,9.0,2026,0.9634634719958028
00-0041004,Chase Roberts,WR,LV,1.5588368374562298,1.3365423746688392,9.409044214645464,15.0,21.9051842306728,rookie_rule,True,depth,listed,10.0,2026,0.9368174912784554
00-0038979,Cedric Tillman,WR,CLE,1.5488328451944695,0.2304288894558282,9.399040222383704,13.0,18.885378479252356,v2_team_first,True,depth,listed,4.0,2026,0.9379459029347667
00-0040934,Jordan Hudson,WR,DAL,1.5344156053593494,0.909694700597162,9.384622982548583,15.0,21.488901834232287,rookie_rule,True,depth,listed,10.0,2026,0.9336410882500001
00-0040986,Ty Pezza,WR,BAL,1.5320467175616117,0.6939987050429262,9.382254094750843,15.0,21.525907536906704,rookie_rule,True,depth,listed,5.0,2026,0.9366950015365546
00-0040138,Jaylin Noel,WR,HOU,1.5298164721741607,0.3154902299870457,9.380023849363392,15.75,22.550023431105526,v2_team_first,False,depth,listed,3.0,2026,0.9358949556873875
00-0039679,Ben Nikkel,WR,IND,1.527435146342212,0.2740579491822901,9.377642523531446,15.0,21.42064373660577,v2_team_first,False,,,,2026,0.9349286738579303
00-0041368,Harrison Wallace,WR,ARI,1.52740040298209,1.1092209665279604,9.377607780171322,15.0,21.44321781857786,rookie_rule,True,depth,listed,9.0,2026,0.9359352346515126
00-0040237,Tez Johnson,WR,TB,1.5266615329194688,0.297410447249602,9.376868910108705,15.0,22.159459552379015,v2_team_first,False,depth,listed,5.0,2026,0.9676652431707413
00-0040919,Tyren Montgomery,WR,TEN,1.515262346705883,1.20167806686682,9.365469723895115,15.0,21.743738091281944,rookie_rule,True,depth,listed,12.0,2026,0.9566544978631113
00-0041228,Sahmir Hagans,WR,IND,1.5082744554457663,0.7646857471765451,9.358481832635,15.0,21.152044785410375,rookie_rule,True,depth,listed,10.0,2026,0.9349335022786659
00-0041273,Desmond Reid,RB,BUF,1.5045826675268208,1.164134028178749,8.936826874062282,15.0,22.03924441787185,rookie_rule,True,,,,2026,0.9765385398242102
00-0041266,Keelan Marion,WR,ATL,1.4998778941458872,1.1109572643689862,9.35008527133512,15.0,21.061557514802775,rookie_rule,True,depth,listed,9.0,2026,0.9361454287715593
00-0039074,Davis Allen,TE,LA,1.4996943690068962,0.2822363305723157,6.973203882101853,13.4,19.312610602685474,v2_team_first,True,depth,listed,5.0,2026,0.9610222102585666
00-0038951,Sean Tucker,RB,TB,1.4988378657332464,0.0687457260465202,8.931082072268708,15.3,22.816806446934493,v2_team_first,False,depth,listed,3.0,2026,0.9949672163411551
00-0036626,Dyami Brown,WR,WAS,1.487569906970545,0.3169945130818156,9.33777728415978,13.85,19.326636328287222,v2_team_first,True,depth,listed,5.0,2026,0.9380567589554885
