season,week,gsis_id,player_name,position,team,is_rookie,attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fantasy_points,floor,ceiling,pred_target_share,pred_carry_share,pred_dropback_share,depth_rank,is_out,is_doubtful,is_questionable,play_prob,injury_status,projected_games_estimate,pred_rookie_fp_pg,games_played_prior,veteran_weight,fantasy_points_veteran
2026,1,00-0041004,Chase Roberts,WR,LV,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5269738120701462,0.33611856384204764,3.8444516720079127,0.02655006538026933,1.6519587047448852,0.7720945814204302,9.051958704744884,0.015583991859375264,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,4.73263149568189,0.0,0.7996,0.879864123324455
2026,1,00-0041308,Treyvhon Saunders,WR,HOU,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6598641708165092,0.4328952814336054,5.245409519226365,0.03161622262631533,1.6476719579578654,0.5005383888437316,9.047671957957865,0.019696402239722847,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.6448301202305595,0.0,0.7996,1.1471335691141338
2026,1,00-0037801,KaVontae Turpin,WR,DAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9040058338052485,0.5628804326943535,7.661384421995165,0.05196219339508218,1.6407920352643632,0.0,9.040792035264364,0.025496448704670268,0.019857199579993167,0.0,4.0,false,false,false,1.0,,15.35,,,1.0,1.6407920352643632
2026,1,00-0041342,Dillon Bell,WR,MIN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635809397423818,0.4108609393493005,4.856680278258578,0.03573523659964552,1.6370225341355595,0.5260821473625281,9.03702253413556,0.019065833825445497,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.73610080275371,0.0,0.7996,1.1109403867730314
2026,1,00-0041352,Marcus Sanders Jr.,WR,MIN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6465508334861776,0.4174315301308744,4.972916004472638,0.03636993807706957,1.6361685655508147,0.503225806510259,9.036168565550813,0.019387934184202985,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.644049577954023,0.0,0.7996,1.1329427590405556
2026,1,00-0040977,Cortez Braham,WR,BAL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6352192519257032,0.4171311364716373,5.52154412161726,0.03970690673899579,1.6346315722967455,0.42710458322940736,9.034631572296746,0.020618623404137212,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.338787384423662,0.0,0.7996,1.2075269890673381
2026,1,00-0041481,Terrill Davis,WR,MIN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635809397423818,0.4108609393493005,4.856680278258578,0.03573523659964552,1.6174226930157762,0.5064823062427448,9.017422693015776,0.019065833825445497,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.6382972043515975,0.0,0.7996,1.1109403867730314
2026,1,00-0040782,Isaiah Bond,WR,CLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.109931998794556,0.5973262477425646,7.8617519349752,0.03794141089271446,1.6111499065963715,0.0,9.011149906596373,0.03363784103620783,0.0065146166907877326,0.0,4.0,false,false,false,1.0,,15.0,,,1.0,1.6111499065963715
2026,1,00-0039884,Tahj Washington,WR,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9316730067924056,0.5415137332956524,7.766929618646312,0.04732017143834709,1.6021277237903662,0.0,9.002127723790366,0.029001209178947294,0.0,0.0,6.0,false,false,false,1.0,,10.12,,,1.0,1.6021277237903662
2026,1,00-0041309,Daniel Sobkowicz,WR,HOU,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6268881485010721,0.4120017593829877,4.912805887083427,0.029982661072752066,1.5942277850508149,0.5110494705229722,8.994227785050816,0.018712095122415312,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.6333253730257082,0.0,0.7996,1.0831783145278426
2026,1,00-0040970,Michael Briscoe,WR,MIN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196078054830364,0.4007465469097094,4.700095719482554,0.034794942019633006,1.591150790554354,0.5116250195785912,8.991150790554356,0.01858000134026643,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.632544830749172,0.0,0.7996,1.0795257709757629
2026,1,00-0041475,Trayvon Rudolph,WR,MIN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196078054830364,0.4007465469097094,4.700095719482554,0.034794942019633006,1.591150790554354,0.5116250195785912,8.991150790554356,0.01858000134026643,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.632544830749172,0.0,0.7996,1.0795257709757629
2026,1,00-0040948,J. Michael Sturdivant,WR,GB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6143434395193459,0.38682256821730454,4.757853765206588,0.02932884497937102,1.5750246367040424,0.536443622089853,8.975024636704042,0.01951485051479262,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.7154453963000824,0.0,0.7996,1.0385810146141894
2026,1,00-0035406,Lil'Jordan Humphrey,WR,DEN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0410705709716002,0.6524997096327809,6.678945734557908,0.04212791492069223,1.5731617726127252,0.0,8.973161772612725,0.030872689599737577,0.0,0.0,6.0,false,false,false,1.0,,12.25,,,1.0,1.5731617726127252
2026,1,00-0040522,Xavier Restrepo,WR,TEN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9662989676154801,0.5904580110918288,7.37533684647184,0.038668368738854486,1.56000190817214,0.0,8.96000190817214,0.029012304056556453,0.0,0.0,6.0,false,false,false,1.0,,10.12,,,1.0,1.56000190817214
2026,1,00-0041319,Cameron Dorner,WR,NE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619762763315125,0.402095375002164,5.301085734841546,0.027422416978161022,1.5585356863692135,0.46179723601392864,8.958535686369213,0.019853706895889913,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.401115875574489,0.0,0.7996,1.0967384503552848
2026,1,00-0041359,Wesley Grimes,WR,SF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072820496688814,0.32052328494215665,4.2260273594594615,0.024526422168808338,1.5544783886274032,0.6641938347264504,8.954478388627404,0.01491580809042923,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,4.20462504654791,0.0,0.7996,0.8902845539009527
